Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",62.936150,-44.958000,90.000000,bottom
"C2","100nF","C_0805_2012Metric",98.552000,-44.958000,90.000000,bottom
"C3","100nF","C_0805_2012Metric",62.865000,-62.484000,90.000000,bottom
"C4","100nF","C_0805_2012Metric",98.552000,-62.738000,90.000000,bottom
"C5","10uF","C_0805_2012Metric",67.692000,-78.972500,90.000000,bottom
"R1","10k","R_0805_2012Metric",56.840150,-44.958000,90.000000,bottom
"R2","10k","R_0805_2012Metric",61.849000,-56.642000,-90.000000,bottom
"R3","100","R_0805_2012Metric",60.904150,-44.958000,90.000000,bottom
"R4","100","R_0805_2012Metric",58.872150,-44.958000,90.000000,bottom
"R5","100","R_0805_2012Metric",57.785000,-56.642000,-90.000000,bottom
"R6","100","R_0805_2012Metric",59.817000,-56.642000,-90.000000,bottom
"R7","10k","R_0805_2012Metric",97.536000,-56.642000,-90.000000,bottom
"R8","10k","R_0805_2012Metric",92.456000,-44.958000,90.000000,bottom
"R9","100","R_0805_2012Metric",94.488000,-44.958000,90.000000,bottom
"R10","100","R_0805_2012Metric",96.520000,-44.958000,90.000000,bottom
"R11","100","R_0805_2012Metric",95.504000,-56.642000,-90.000000,bottom
"R12","100","R_0805_2012Metric",93.472000,-56.642000,-90.000000,bottom
"R13","10k","R_0805_2012Metric",61.976000,-74.168000,-90.000000,bottom
"R14","10k","R_0805_2012Metric",56.769000,-62.484000,90.000000,bottom
"R15","100","R_0805_2012Metric",58.801000,-62.484000,90.000000,bottom
"R16","100","R_0805_2012Metric",60.833000,-62.484000,90.000000,bottom
"R17","100","R_0805_2012Metric",59.944000,-74.168000,-90.000000,bottom
"R18","100","R_0805_2012Metric",57.912000,-74.168000,-90.000000,bottom
"R19","10k","R_0805_2012Metric",97.536000,-74.422000,-90.000000,bottom
"R20","10k","R_0805_2012Metric",92.456000,-62.738000,90.000000,bottom
"R21","100","R_0805_2012Metric",94.488000,-62.738000,90.000000,bottom
"R22","100","R_0805_2012Metric",96.520000,-62.738000,90.000000,bottom
"R23","100","R_0805_2012Metric",95.504000,-74.422000,-90.000000,bottom
"R24","100","R_0805_2012Metric",93.472000,-74.422000,-90.000000,bottom
"U1","74LVC04AT14-13","TSSOP-14_4.4x5mm_P0.65mm",59.888150,-50.800000,90.000000,bottom
"U2","74LVC04AT14-13","TSSOP-14_4.4x5mm_P0.65mm",95.504000,-50.800000,90.000000,bottom
"U3","74LVC04AT14-13","TSSOP-14_4.4x5mm_P0.65mm",59.944000,-68.326000,90.000000,bottom
"U4","74LVC04AT14-13","TSSOP-14_4.4x5mm_P0.65mm",95.504000,-68.580000,90.000000,bottom
